Class,Student ID,Score
1,1010,44
2,1055,90
2,1063,5
1,1014,88
2,1100,26
2,1085,61
1,1016,2
2,1077,2
2,1057,42
2,1059,61
1,1021,99
2,1100,23
2,1075,5
2,1083,90
2,1051,76
1,1016,69
1,1047,50
2,1056,9
1,1024,91
2,1083,39
2,1059,55
1,1038,84
1,1013,10
2,1060,0
1,1041,92
1,1012,60
2,1055,23
2,1098,53
2,1099,20
1,1021,75
1,1006,18
1,1017,62
2,1081,71
1,1006,39
2,1100,96
2,1069,65
2,1061,53
2,1057,100
2,1100,63
1,1013,51
2,1092,78
2,1073,78
1,1033,21
1,1014,100
1,1027,56
1,1018,4
2,1099,74
1,1045,65
2,1057,20
2,1087,24
2,1083,60
1,1044,47
2,1059,46
1,1005,68
2,1054,89
2,1065,41
2,1054,43
2,1069,12
1,1003,43
1,1025,72
1,1031,23
2,1055,57
1,1049,19
1,1017,14
1,1020,16
2,1071,6
1,1010,85
1,1007,56
2,1073,57
1,1002,94
1,1029,89
1,1027,87
2,1094,58
1,1037,74
1,1046,62
1,1023,4
2,1071,36
1,1018,42
2,1066,8
2,1075,47
1,1031,84
1,1015,83
1,1002,9
1,1029,26
1,1038,73
2,1082,12
1,1039,34
1,1040,66
1,1049,18
1,1050,34
1,1008,68
1,1035,46
2,1073,85
1,1035,84
1,1017,21
1,1017,33
2,1098,94
2,1075,91
2,1059,27
2,1067,23
1,1027,79
2,1078,15
1,1016,31
1,1019,18
1,1014,21
1,1005,11
2,1092,37
2,1063,73
2,1056,24
1,1008,21
1,1041,18
1,1048,85
1,1033,93
1,1040,41
1,1034,86
1,1044,77
2,1091,47
2,1059,5
1,1021,82
1,1011,18
1,1004,38
2,1056,35
2,1064,49
2,1058,50
2,1088,79
2,1084,84
1,1042,51
2,1079,57
1,1040,100
1,1045,40
1,1020,8
1,1001,67
2,1054,34
2,1060,24
2,1077,35
1,1044,37
2,1068,69
1,1032,58
2,1083,76
2,1078,99
1,1034,64
2,1071,38
1,1045,13
2,1055,64
1,1037,45
2,1079,84
1,1006,3
2,1083,43
2,1057,54
1,1031,9
2,1078,44
2,1060,36
1,1002,13
1,1024,90
2,1084,40
1,1017,42
1,1017,42
1,1012,56
2,1082,14
1,1033,88
1,1022,15
1,1040,1
2,1095,44
2,1077,23
1,1035,86
1,1010,37
2,1073,75
2,1054,55
2,1078,12
2,1077,94
1,1003,82
1,1001,5
1,1014,2
2,1061,19
1,1045,30
1,1025,50
2,1059,36
2,1067,72
2,1097,19
2,1097,34
1,1004,71
2,1054,39
1,1012,16
1,1034,87
1,1036,68
1,1007,35
2,1059,67
2,1088,49
1,1013,4
1,1033,87
2,1063,7
1,1022,43
2,1083,56
2,1081,30
2,1073,34
1,1024,74
1,1042,26
2,1097,77
1,1031,65
1,1036,83
1,1042,25
1,1008,18
1,1041,22
2,1055,11
2,1051,55
2,1084,35
1,1029,97
1,1041,17
2,1065,90
1,1023,54
2,1052,87
1,1007,18
1,1023,68
2,1083,79
2,1056,9
2,1060,36
1,1023,59
2,1082,54
2,1083,54
2,1063,81
2,1094,71
2,1060,73
1,1033,11
1,1022,27
2,1076,91
1,1025,8
1,1009,29
1,1032,13
1,1042,63
1,1022,79
2,1089,22
1,1045,75
1,1001,98
2,1094,91
2,1069,2
1,1050,41
2,1090,80
1,1024,69
1,1009,12
2,1068,45
1,1024,0
1,1008,5
2,1054,47
2,1096,97
2,1052,36
1,1025,68
2,1090,75
1,1021,81
2,1086,83
1,1015,36
1,1034,97
2,1079,66
1,1002,16
2,1078,4
2,1067,85
1,1001,53
1,1017,26
1,1039,59
2,1057,26
2,1066,22
1,1041,60
1,1049,37
2,1066,73
1,1029,56
1,1001,14
2,1060,73
2,1052,4
1,1018,5
1,1015,83
1,1014,30
1,1026,91
2,1078,83
2,1070,53
1,1020,49
1,1049,24
1,1007,31
2,1087,50
1,1010,51
1,1036,51
1,1025,94
2,1051,17
2,1090,81
2,1089,34
2,1076,88
1,1028,69
1,1028,2
2,1070,50
2,1078,17
2,1093,31
1,1035,28
1,1050,65
1,1027,26
1,1003,17
1,1025,36
2,1063,84
1,1040,75
2,1086,91
2,1055,22
2,1090,1
1,1002,44
2,1065,24
2,1078,15
2,1087,36
1,1040,73
2,1054,92
1,1032,94
2,1061,71
1,1049,22
2,1081,50
1,1002,9
2,1055,93
1,1043,83
1,1044,81
1,1009,78
2,1054,27
2,1056,57
2,1055,85
2,1095,98
1,1044,20
2,1079,64
1,1046,2
2,1057,91
2,1087,32
2,1081,90
1,1004,0
2,1053,45
1,1038,57
1,1029,18
1,1009,49
1,1035,79
2,1070,52
1,1018,27
1,1050,7
1,1050,68
1,1002,34
2,1078,64
1,1006,16
2,1058,93
2,1089,57
2,1056,36
1,1004,26
1,1013,11
1,1024,92
2,1080,95
1,1006,42
2,1067,64
1,1006,1
2,1100,37
2,1086,64
2,1079,69
2,1100,74
1,1033,66
1,1015,27
2,1052,48
1,1043,19
1,1019,26
2,1097,5
1,1015,23
2,1100,65
2,1063,5
2,1065,46
1,1037,67
1,1008,40
1,1031,94
2,1058,68
2,1084,53
2,1070,77
1,1028,0
1,1007,95
2,1092,69
1,1010,8
2,1081,55
1,1036,66
2,1091,73
1,1019,18
2,1063,91
1,1035,87
2,1070,30
2,1087,97
2,1074,98
2,1064,17
1,1039,57
2,1092,29
2,1058,45
1,1045,26
2,1051,81
2,1063,85
1,1022,86
2,1077,69
2,1077,14
1,1028,81
1,1048,89
2,1052,40
2,1058,85
1,1046,100
2,1053,82
2,1059,72
2,1072,8
1,1013,73
2,1053,69
2,1086,21
2,1092,69
1,1023,53
1,1024,47
1,1004,51
1,1033,67
2,1096,24
2,1090,96
1,1017,64
1,1032,67
1,1022,1
2,1100,89
1,1033,28
1,1019,3
2,1069,16
1,1034,14
2,1095,12
2,1071,37
2,1058,100
1,1040,71
1,1033,50
1,1025,61
1,1014,22
1,1031,13
2,1060,50
1,1036,76
2,1070,25
1,1003,13
1,1028,66
1,1033,75
1,1021,87
2,1065,24
2,1091,44
2,1066,73
1,1042,6
2,1097,91
1,1020,14
1,1007,76
1,1044,64
1,1032,20
1,1050,4
1,1046,66
1,1023,75
2,1055,9
1,1002,28
2,1076,26
2,1098,60
2,1068,36
1,1019,63
2,1083,88
2,1078,15
1,1040,82
1,1031,62
1,1036,51
1,1030,14
1,1018,64
2,1051,100
2,1097,85
1,1032,47
2,1069,13
1,1012,35
1,1004,58
1,1040,54
1,1048,38
2,1078,93
1,1016,89
1,1037,97
1,1050,11
1,1033,1
2,1052,60
1,1011,31
2,1091,68
2,1082,60
2,1061,99
2,1074,96
2,1065,43
1,1034,42
2,1085,55
1,1034,92
2,1054,8
2,1098,55
2,1077,63
1,1044,71
1,1019,96
2,1074,73
1,1032,50
2,1051,12
2,1097,55
2,1081,77
2,1091,49
1,1040,39
1,1042,3
1,1034,66
1,1028,70
2,1057,62
1,1043,7
2,1085,53
2,1097,92
1,1033,80
1,1023,66
1,1012,62
1,1003,17
2,1079,10
2,1062,38
2,1087,4
2,1097,77
1,1018,38
1,1047,93
1,1028,20
1,1034,21
2,1054,44
1,1048,34
1,1017,37
1,1016,22
2,1062,14
1,1009,29
1,1023,25
1,1001,89
1,1036,88
1,1031,87
1,1043,49
1,1030,47
1,1008,19
1,1013,12
1,1001,43
1,1004,34
2,1072,91
2,1089,30
1,1032,2
1,1047,34
1,1045,82
2,1079,1
2,1054,77
1,1017,92
2,1091,92
1,1011,38
2,1082,36
2,1078,24
2,1057,39
2,1053,64
2,1066,57
1,1047,63
2,1098,75
2,1078,54
2,1065,34
1,1027,58
1,1010,92
2,1085,19
2,1060,87
1,1042,36
1,1005,94
2,1092,15
2,1096,87
1,1027,52
2,1096,46
2,1051,30
2,1093,26
1,1033,52
2,1074,73
1,1045,82
1,1042,27
1,1011,18
1,1010,0
1,1023,74
1,1031,9
1,1042,57
2,1085,18
2,1087,93
2,1069,17
1,1039,8
2,1064,76
2,1091,19
2,1077,70
2,1091,52
1,1047,11
1,1027,7
2,1063,8
2,1082,8
1,1047,67
1,1037,60
1,1012,61
2,1060,69
1,1021,36
1,1001,73
2,1077,75
1,1043,78
2,1058,42
1,1018,99
1,1001,35
1,1002,5
1,1041,75
