Class,Student ID,Score
1,1016,75
2,1096,95
2,1055,30
1,1014,12
2,1095,24
1,1005,19
2,1093,5
1,1002,8
1,1038,11
1,1031,32
1,1028,82
2,1061,53
1,1028,62
1,1013,57
1,1031,94
2,1098,68
1,1007,67
2,1098,10
1,1020,15
1,1035,64
1,1003,39
1,1018,49
1,1033,19
2,1078,85
2,1091,71
1,1023,6
1,1016,42
2,1099,21
1,1047,13
2,1059,51
1,1043,43
1,1022,26
1,1050,76
2,1090,76
2,1083,19
1,1015,85
1,1045,44
2,1066,45
1,1021,59
1,1024,66
1,1035,72
1,1050,67
2,1092,36
2,1081,23
1,1009,45
2,1098,40
2,1083,47
1,1034,43
1,1024,62
2,1059,18
1,1008,89
2,1087,1
2,1090,68
2,1077,97
1,1016,62
2,1060,4
2,1060,25
1,1050,50
1,1019,100
2,1075,77
2,1077,61
2,1072,74
2,1079,77
1,1006,37
1,1035,93
2,1076,83
1,1020,15
1,1050,95
1,1024,15
2,1091,76
1,1004,7
1,1044,58
1,1040,30
2,1066,10
1,1050,45
1,1006,17
1,1049,40
1,1023,3
2,1061,92
1,1029,49
2,1061,61
1,1024,82
2,1073,77
2,1098,66
2,1097,33
2,1074,95
2,1081,9
2,1094,59
2,1062,35
2,1100,32
1,1045,23
2,1054,20
1,1015,87
2,1052,45
2,1071,91
1,1015,11
1,1046,67
2,1057,84
2,1057,25
1,1036,4
2,1078,87
2,1076,5
1,1039,56
2,1091,22
1,1004,47
1,1019,81
2,1070,37
1,1013,19
1,1025,42
1,1026,94
1,1025,18
1,1035,60
2,1070,27
1,1013,30
1,1039,55
1,1026,71
2,1099,19
1,1045,73
1,1019,79
2,1074,32
1,1007,46
2,1075,19
2,1073,13
1,1003,57
2,1091,54
2,1071,40
1,1029,36
2,1066,68
2,1083,62
1,1020,89
2,1094,83
2,1097,12
1,1020,4
2,1081,52
1,1024,88
2,1060,19
2,1060,96
1,1024,100
2,1100,2
2,1054,77
2,1086,89
2,1100,31
2,1088,58
1,1041,73
2,1059,78
1,1040,21
2,1076,84
2,1096,46
1,1008,89
1,1029,51
1,1050,86
2,1078,75
2,1053,30
1,1009,49
2,1070,96
1,1007,66
1,1036,97
2,1072,1
1,1039,33
2,1089,86
2,1056,0
1,1021,1
1,1016,84
1,1048,10
2,1051,58
2,1086,20
2,1059,42
1,1049,49
2,1097,56
2,1059,81
1,1043,88
1,1047,51
2,1090,73
2,1051,29
1,1003,11
2,1055,98
1,1032,53
1,1041,25
1,1013,68
2,1075,52
2,1059,42
1,1037,90
1,1050,3
1,1034,31
1,1028,61
1,1007,100
1,1002,42
2,1057,32
1,1001,1
1,1025,15
1,1014,57
2,1072,11
2,1074,5
1,1022,22
1,1048,100
2,1075,29
1,1044,19
1,1003,82
1,1034,10
1,1049,2
2,1080,8
2,1079,22
2,1100,57
1,1043,82
2,1062,70
2,1089,56
1,1040,9
1,1025,16
1,1029,1
1,1034,6
1,1007,31
2,1083,26
1,1004,38
2,1094,11
2,1069,12
1,1017,42
1,1022,6
1,1036,61
1,1037,44
2,1056,65
2,1091,50
2,1051,49
2,1084,17
1,1043,44
2,1080,93
1,1039,22
2,1086,41
2,1089,53
1,1042,51
1,1002,28
1,1010,9
2,1066,71
2,1100,78
1,1013,56
2,1061,27
2,1097,52
1,1008,87
2,1091,44
1,1001,14
1,1016,46
2,1077,89
1,1012,74
1,1030,47
1,1024,6
1,1013,23
1,1039,67
1,1041,92
1,1041,87
1,1021,48
1,1026,33
2,1078,41
1,1018,15
1,1014,60
2,1085,43
2,1075,83
2,1063,9
1,1009,25
1,1029,40
1,1045,72
2,1087,90
1,1011,10
1,1034,7
2,1082,47
2,1095,90
2,1093,10
1,1002,85
2,1076,79
2,1054,59
2,1083,2
1,1014,2
1,1001,22
2,1064,48
2,1057,65
1,1001,5
1,1049,16
2,1058,31
2,1061,35
1,1004,57
1,1013,4
2,1052,17
1,1031,64
1,1002,32
1,1009,96
1,1033,77
1,1003,1
2,1051,33
2,1073,14
1,1038,6
2,1071,69
2,1051,17
1,1034,61
2,1065,37
1,1040,52
2,1058,27
1,1029,40
1,1040,45
2,1090,36
2,1077,60
1,1031,46
1,1041,24
2,1058,64
1,1011,23
1,1042,47
2,1085,84
2,1092,73
2,1058,19
2,1075,91
1,1031,100
2,1061,17
1,1004,61
2,1065,42
2,1075,78
2,1076,99
1,1004,30
2,1063,78
1,1012,69
1,1038,70
1,1046,58
2,1065,80
1,1020,61
1,1042,64
2,1090,30
2,1086,9
1,1026,53
2,1053,23
2,1094,52
2,1098,46
1,1049,96
1,1049,31
2,1083,24
1,1002,12
1,1025,33
1,1047,62
2,1100,22
1,1003,83
2,1070,55
2,1058,43
1,1010,84
2,1094,41
1,1025,29
1,1045,33
2,1058,76
1,1030,17
1,1027,60
2,1061,31
1,1011,35
2,1058,42
1,1007,6
2,1093,6
1,1019,26
1,1008,16
1,1043,46
1,1011,79
2,1055,87
1,1049,56
1,1006,93
2,1057,23
1,1030,60
1,1011,83
1,1005,38
2,1097,14
1,1043,44
1,1041,18
2,1066,59
1,1031,20
1,1029,4
1,1010,40
1,1036,48
1,1014,67
2,1064,95
1,1020,97
2,1094,85
1,1006,86
1,1020,3
2,1098,32
1,1023,41
1,1027,71
1,1036,36
2,1060,53
1,1012,71
2,1069,8
1,1041,30
2,1098,35
2,1093,82
2,1076,5
2,1096,65
1,1025,81
1,1048,53
1,1016,73
2,1089,97
1,1040,58
1,1028,23
2,1096,30
1,1013,98
1,1015,100
2,1071,87
2,1052,24
2,1097,17
1,1010,15
2,1079,32
2,1063,21
2,1065,37
1,1022,98
2,1053,91
1,1046,15
2,1091,16
1,1046,12
1,1008,18
1,1048,16
1,1027,29
2,1100,37
1,1004,87
1,1022,1
2,1097,33
1,1038,57
1,1047,93
1,1020,75
1,1030,95
1,1049,91
1,1008,83
2,1096,43
1,1046,80
1,1025,2
1,1036,9
2,1094,58
1,1026,52
2,1053,78
2,1064,15
2,1086,4
2,1096,39
2,1081,100
1,1019,54
2,1082,21
1,1028,81
2,1077,90
2,1100,1
1,1047,34
1,1042,78
1,1020,53
1,1049,30
2,1058,22
1,1004,53
1,1042,43
1,1005,22
2,1083,17
1,1011,26
2,1060,19
2,1068,55
2,1081,63
2,1083,52
1,1035,15
1,1042,48
2,1092,97
1,1004,91
2,1082,51
2,1061,5
2,1089,33
1,1032,5
2,1051,61
2,1095,62
2,1051,95
1,1033,91
2,1052,77
1,1050,63
2,1079,31
1,1011,40
2,1081,93
1,1045,80
2,1059,47
1,1040,29
2,1096,71
1,1050,81
1,1029,83
1,1037,52
2,1060,62
1,1032,30
1,1004,71
2,1086,47
1,1003,2
2,1090,73
1,1041,35
1,1016,59
1,1049,25
2,1081,73
2,1091,72
1,1037,65
2,1068,68
2,1074,16
2,1093,28
1,1040,76
1,1038,36
2,1099,48
1,1049,66
2,1059,97
1,1044,4
1,1032,45
1,1025,53
1,1044,21
1,1007,82
1,1034,70
2,1093,35
2,1072,77
2,1097,38
2,1082,65
2,1076,26
1,1005,13
2,1068,87
1,1010,41
1,1018,51
1,1028,48
1,1018,34
2,1064,44
2,1070,60
